Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
7,1,BAL,37,SJS,30,AWAY,7
7,1,AZ,38,NO,35,HOME,3
7,2,PHI,46,COL,13,HOME,33
7,2,BAL,42,NO,10,HOME,32
7,2,YKW,24,SJS,19,HOME,5
7,2,OCO,34,AZ,26,HOME,8
7,3,OCO,59,COL,16,HOME,43
7,3,SJS,33,BAL,27,AWAY,6
7,3,YKW,54,NO,20,HOME,34
7,3,PHI,25,AZ,24,AWAY,1
7,4,SJS,33,COL,9,AWAY,24
7,4,YKW,23,NO,21,AWAY,2
7,4,PHI,30,BAL,20,HOME,10
7,4,OCO,44,AZ,31,AWAY,13
7,5,BAL,31,COL,16,AWAY,15
7,5,NO,37,SJS,10,HOME,27
7,5,YKW,32,OCO,17,HOME,15
7,5,PHI,40,AZ,33,HOME,7
7,6,SJS,23,COL,20,HOME,3
7,6,OCO,36,NO,22,HOME,14
7,6,YKW,51,AZ,14,AWAY,37
7,6,BAL,24,PHI,16,HOME,8
7,7,OCO,43,COL,3,AWAY,40
7,7,YKW,26,SJS,20,AWAY,6
7,7,PHI,34,NO,6,AWAY,28
7,7,BAL,27,AZ,10,HOME,17
7,8,NO,38,COL,3,HOME,35
7,8,PHI,44,SJS,13,HOME,31
7,8,YKW,35,AZ,19,HOME,16
7,8,OCO,27,BAL,21,HOME,6
7,9,AZ,31,COL,14,HOME,17
7,9,OCO,34,BAL,24,AWAY,10
7,9,YKW,27,PHI,26,HOME,1
7,9,SJS,23,NO,21,HOME,2
7,10,PHI,30,COL,3,AWAY,27
7,10,NO,22,BAL,17,HOME,5
7,10,SJS,33,AZ,22,HOME,11
7,10,OCO,27,YKW,20,HOME,7
7,11,AZ,30,COL,13,AWAY,17
7,11,OCO,23,NO,20,AWAY,3
7,11,YKW,38,BAL,22,HOME,16
7,11,PHI,36,SJS,21,AWAY,15
7,12,YKW,37,COL,0,HOME,37
7,12,BAL,41,AZ,35,AWAY,6
7,12,OCO,16,SJS,3,HOME,13
7,12,PHI,36,NO,7,HOME,29
7,13,NO,26,COL,7,AWAY,19
7,13,AZ,24,SJS,22,HOME,2
7,13,OCO,40,PHI,9,HOME,31
7,13,YKW,27,BAL,24,AWAY,3
7,14,BAL,48,COL,5,HOME,43
7,14,OCO,37,SJS,21,AWAY,16
7,14,YKW,48,PHI,28,AWAY,20
7,14,AZ,20,NO,19,AWAY,1
7,P,PHI,40,YKW,31,AWAY,9
7,P,OCO,48,AZ,24,HOME,24
7,U,PHI,28,OCO,19,AWAY,9
8,1,PHI,38,COL,16,HOME,22
8,1,BAL,40,SJS,17,HOME,23
8,1,YKW,33,NO,7,AWAY,26
8,1,OCO,47,AZ,10,HOME,37
8,2,BAL,31,PHI,21,HOME,10
8,2,NO,36,COL,9,AWAY,27
8,2,YKW,30,AZ,24,HOME,6
8,2,OCO,37,SJS,13,AWAY,24
8,3,PHI,35,SJS,30,AWAY,5
8,3,YKW,41,NO,13,HOME,28
8,3,COL,13,AZ,10,HOME,3
8,3,BAL,31,OCO,26,AWAY,5
8,4,PHI,38,NO,3,HOME,35
8,4,AZ,33,COL,21,HOME,12
8,4,YKW,32,BAL,28,AWAY,4
8,4,OCO,45,SJS,10,HOME,35
