Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
,,,4,,24,IMPOSSIBLE,-20
,,,5,,24,IMPOSSIBLE,-19
,,,6,,24,IMPOSSIBLE,-18
,,,7,,24,IMPOSSIBLE,-17
,,,8,,24,IMPOSSIBLE,-16
,,,9,,24,IMPOSSIBLE,-15
,,,10,,24,IMPOSSIBLE,-14
,,,11,,24,IMPOSSIBLE,-13
,,,12,,24,IMPOSSIBLE,-12
,,,13,,24,IMPOSSIBLE,-11
,,,14,,24,IMPOSSIBLE,-10
,,,15,,24,IMPOSSIBLE,-9
,,,16,,24,IMPOSSIBLE,-8
,,,17,,24,IMPOSSIBLE,-7
,,,18,,24,IMPOSSIBLE,-6
,,,19,,24,IMPOSSIBLE,-5
,,,20,,24,IMPOSSIBLE,-4
,,,21,,24,IMPOSSIBLE,-3
,,,22,,24,IMPOSSIBLE,-2
,,,23,,24,IMPOSSIBLE,-1
,,,0,,25,IMPOSSIBLE,-25
,,,1,,25,IMPOSSIBLE,-24
,,,2,,25,IMPOSSIBLE,-23
,,,3,,25,IMPOSSIBLE,-22
,,,4,,25,IMPOSSIBLE,-21
,,,5,,25,IMPOSSIBLE,-20
,,,6,,25,IMPOSSIBLE,-19
,,,7,,25,IMPOSSIBLE,-18
,,,8,,25,IMPOSSIBLE,-17
,,,9,,25,IMPOSSIBLE,-16
,,,10,,25,IMPOSSIBLE,-15
,,,11,,25,IMPOSSIBLE,-14
,,,12,,25,IMPOSSIBLE,-13
,,,13,,25,IMPOSSIBLE,-12
,,,14,,25,IMPOSSIBLE,-11
,,,15,,25,IMPOSSIBLE,-10
,,,16,,25,IMPOSSIBLE,-9
,,,17,,25,IMPOSSIBLE,-8
,,,18,,25,IMPOSSIBLE,-7
,,,19,,25,IMPOSSIBLE,-6
,,,20,,25,IMPOSSIBLE,-5
,,,21,,25,IMPOSSIBLE,-4
,,,22,,25,IMPOSSIBLE,-3
,,,23,,25,IMPOSSIBLE,-2
,,,24,,25,IMPOSSIBLE,-1
,,,0,,26,IMPOSSIBLE,-26
,,,1,,26,IMPOSSIBLE,-25
,,,2,,26,IMPOSSIBLE,-24
,,,3,,26,IMPOSSIBLE,-23
,,,4,,26,IMPOSSIBLE,-22
,,,5,,26,IMPOSSIBLE,-21
,,,6,,26,IMPOSSIBLE,-20
,,,7,,26,IMPOSSIBLE,-19
,,,8,,26,IMPOSSIBLE,-18
,,,9,,26,IMPOSSIBLE,-17
,,,10,,26,IMPOSSIBLE,-16
,,,11,,26,IMPOSSIBLE,-15
,,,12,,26,IMPOSSIBLE,-14
,,,13,,26,IMPOSSIBLE,-13
,,,14,,26,IMPOSSIBLE,-12
,,,15,,26,IMPOSSIBLE,-11
,,,16,,26,IMPOSSIBLE,-10
,,,17,,26,IMPOSSIBLE,-9
,,,18,,26,IMPOSSIBLE,-8
,,,19,,26,IMPOSSIBLE,-7
,,,20,,26,IMPOSSIBLE,-6
,,,21,,26,IMPOSSIBLE,-5
,,,22,,26,IMPOSSIBLE,-4
,,,23,,26,IMPOSSIBLE,-3
,,,24,,26,IMPOSSIBLE,-2
,,,25,,26,IMPOSSIBLE,-1
,,,0,,27,IMPOSSIBLE,-27
,,,1,,27,IMPOSSIBLE,-26
,,,2,,27,IMPOSSIBLE,-25
,,,3,,27,IMPOSSIBLE,-24
,,,4,,27,IMPOSSIBLE,-23
,,,5,,27,IMPOSSIBLE,-22
,,,6,,27,IMPOSSIBLE,-21
,,,7,,27,IMPOSSIBLE,-20
,,,8,,27,IMPOSSIBLE,-19
,,,9,,27,IMPOSSIBLE,-18
,,,10,,27,IMPOSSIBLE,-17
,,,11,,27,IMPOSSIBLE,-16
,,,12,,27,IMPOSSIBLE,-15
,,,13,,27,IMPOSSIBLE,-14
,,,14,,27,IMPOSSIBLE,-13
,,,15,,27,IMPOSSIBLE,-12
,,,16,,27,IMPOSSIBLE,-11
,,,17,,27,IMPOSSIBLE,-10
,,,18,,27,IMPOSSIBLE,-9
,,,19,,27,IMPOSSIBLE,-8
,,,20,,27,IMPOSSIBLE,-7
,,,21,,27,IMPOSSIBLE,-6
,,,22,,27,IMPOSSIBLE,-5
,,,23,,27,IMPOSSIBLE,-4
,,,24,,27,IMPOSSIBLE,-3
,,,25,,27,IMPOSSIBLE,-2
,,,26,,27,IMPOSSIBLE,-1
,,,0,,28,IMPOSSIBLE,-28
,,,1,,28,IMPOSSIBLE,-27
,,,2,,28,IMPOSSIBLE,-26
,,,3,,28,IMPOSSIBLE,-25
,,,4,,28,IMPOSSIBLE,-24
,,,5,,28,IMPOSSIBLE,-23
,,,6,,28,IMPOSSIBLE,-22
,,,7,,28,IMPOSSIBLE,-21
,,,8,,28,IMPOSSIBLE,-20
,,,9,,28,IMPOSSIBLE,-19
,,,10,,28,IMPOSSIBLE,-18
,,,11,,28,IMPOSSIBLE,-17
,,,12,,28,IMPOSSIBLE,-16
,,,13,,28,IMPOSSIBLE,-15
,,,14,,28,IMPOSSIBLE,-14
,,,15,,28,IMPOSSIBLE,-13
,,,16,,28,IMPOSSIBLE,-12
,,,17,,28,IMPOSSIBLE,-11
,,,18,,28,IMPOSSIBLE,-10
